"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"323","iAm"," ‘I am an occasional smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"324","iAm"," ‘I am an irregular smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"325","iAm"," ‘I am a regular smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"326","iAm"," ‘I am an ex-smoker’","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"360","iAm","""I think of myself as a .... clear thinker ","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"361","iAm"," deep thinker ","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"362","iAm"," accurate thinker ","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"363","iAm","broadminded thinker"" (seven-point scale, strongly disagree/strongly agree)","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"379","iAm"," ""I am a person who must teach individuals with disabilities during the next years.""","theodorakis1995attitudes","Theodorakis, Yannis and Bagiatis, Konstantinos and Goudas, Marios","Attitudes toward teaching individuals with disabilities: Application of planned behavior theory","1995","iAmA"
"27","importantPart","‘‘To support fair trade is an important part of who I am’’. (‘‘strongly disagree/strongly agree’’) ","2014-38020-00120160101","Chatzidakis, Andreas and Kastanakis, Minas and Stathopoulou, Anastasia","Socio-cognitive determinants of consumers’ support for the fair trade movement.","2016","importantPart"
"46","importantPart","Blood [organ] donation is an important part of who I am”","2013-40077-01420131201","Hyde, Melissa K. and Knowles, Simon R. and White, Katherine M.","Donating blood and organs: Using an extended theory of planned behavior perspective to identify similarities and differences in individual motivations to donate.","2013","importantPart"
"52","importantPart","“Does driving faster than the speed limit on urban roads/country roads/fast dual carriageways or motorways form an important part of who you are as a person?”","2012-32612-03020130101","Elliott, Mark A. and Thomson, James A. and Robertson, Kirsty and Stephenson, Carry and Wicks, John","Evidence that changes in social cognitions predict changes in self-reported driver behavior: Causal analyses of two-wave panel data.","2013","importantPart"
"55","importantPart"," “Being a safe rider is an important part of who I am” ","2013-00602-01620121101","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012","importantPart"
"57","importantPart"," “Being a rider who takes risks is an important part of who I am”","2013-00602-01620121101","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012","importantPart"
"64","importantPart","“To engage in household recycling is an important part of who I am,” ","2012-29392-00320121101","White, Katherine M. and Hyde, Melissa K.","The role of self-perceptions in the prediction of household recycling behavior in Australia.","2012","importantPart"
"68","importantPart"," . . . is an important part of who I am ","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012","importantPart"
"78","importantPart","Donating blood is an important part of who I am. ","2012-99050-32020120101","Lu, Jia","Predicting blood donations among college students as a strategy to design voluntary blood donation campaigns in China.","2012","importantPart"
"81","importantPart","‘Smoking is an important part of myself’ ","2011-21791-00920110901","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011","importantPart"
"94","importantPart","“Does driving faster than the speed limit form an important part of who you are as a person?”","2010-17651-01220101101","Elliott, Mark A. and Thomson, James A.","The social cognitive determinants of offending drivers’ speeding behaviour.","2010","importantPart"
"101","importantPart","‘‘Being a mobile phone user is an important part of who I am’’ ","2010-14682-00520100801","Burger, Christoph and Riemer, Valentin and Grafeneder, Jürgen and Woisetschläger, Bianca and Vidovic, Dragana and Hergovich, Andreas","Reaching the mobile respondent: Determinants of high-level mobile phone use among a high-coverage group.","2010","importantPart"
"103","importantPart","“Supporting the LGB community is an important part of who I am”","2010-15959-00420100801","Wilkinson, Wayne W. and Sagarin, Brad J.","Psychological antecedents of heterosexuals' pro-gay activism behavior.","2010","importantPart"
"104","importantPart","‘To engage in householdrecycling is an important part of who I am’","2010-16258-00320100601","Nigbur, Dennis and Lyons, Evanthia and Uzzell, David","Attitudes, norms, identity and environmental behaviour: Using an expanded theory of planned behaviour to predict participation in a kerbside recycling programme.","2010","importantPart"
"105","importantPart","‘Being an organ donor is an important part of who I am’, scored de<U+FB01>nitely no/de<U+FB01>nitely yes) measured self-identity","2010-16262-01220100501","Hyde, Melissa K. and White, Katherine M.","Are organ donation communication decisions reasoned or reactive? A test of the utility of an augmented theory of planned behaviour with the prototype/willingness model.","2010","importantPart"
"106","importantPart","“Does riding faster than [30 mph/70 mph] on roads like this form an important part of who you are as a person?”","2010-03052-03920100301","Elliott, Mark A.","Predicting motorcyclists’ intentions to speed: Effects of selected cognitions from the theory of planned behaviour, self-identity and social identity.","2010","importantPart"
"112","importantPart","“To be/continue to be an organ and/or tissue donor is animportant part of who I am,”","2009-05254-00520090401","Hyde, Melissa K. and White, Katherine M.","To be a donor or not to be? Applying an extended theory of planned behavior to predict posthumous organ donation intentions.","2009","importantPart"
"113","importantPart","‘‘Being the type of person who participates in parenting education is an important part of who I am’’","2009-04186-00520090301","White, Katherine M. and Wellington, Larne","Predicting participation in group parenting education in an Australian sample: The role of attitudes, norms, and control factors.","2009","importantPart"
"115","importantPart"," ‘‘To engage in environmental activism is an important part of who I am’ ","2008-16689-00320081201","Fielding, Kelly S. and McDonald, Rachel and Louis, Winnifred R.","Theory of planned behaviour, identity and intentions to engage in environmental activism.","2008","importantPart"
"117","importantPart","‘Breastfeeding would be an important part of who I am’, ‘strongly disagree’ ","2008-12608-00220081001","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008","importantPart"
"121","importantPart","‘To engage in health promoting behaviours is an important part of who I am’","2008-14124-01320081001","Mason, Tania E. and White, Katherine M.","Applying an extended model of the theory of planned behaviour to breast self-examination.","2008","importantPart"
"124","importantPart","“To do physical activity is an important part of who I am,”","2008-01710-00720080201","Hamilton, Kyra and White, Katherine M.","Extending the theory of planned behavior: The role of self and social influences in predicting adolescent regular moderate-to- vigorous physical activity.","2008","importantPart"
"127","importantPart","“Being amobile phone user is an important part of who I am” ","2007-15018-01020071001","Walsh, Shari P. and White, Katherine M.","Me, my mobile, and I: The role of self- and prototypical identity influences in the prediction of mobile phone behavior.","2007","importantPart"
"138","importantPart","‘buying a magazine in the next 2 weeks is an important part ofwho I am’ ","2006-22520-00520061201","Hagger, Martin S. and Chatzisarantis, Nikos L. D.","Self-identity and the theory of planned behaviour: Between- and within-participants analyses.","2006","importantPart"
"146","importantPart","‘To give blood is an important part of who I am’","2004-15788-00320040801","Giles, M. and McClenahan, C. and Cairns, E. and Mallet, J.","An application of the Theory of Planned Behaviour to blood donation: The importance of self-efficacy.","2004","importantPart"
"160","importantPart"," and “Blood donation is an important part of who I am” (strongly disagree-strongly agree).","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","importantPart"
"163","importantPart","“Blood donation is an important part of who I am.""","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","importantPart"
"167","importantPart","“Contraception is an important part of who I am” ","2001-05241-00520010101","Fekadu, Zelalem and Kraft, Pål","Self-identity in planned behavior perspective: Past behavior and its moderating effects on self-identity–intention relations.","2001","importantPart"
"170","importantPart","`To engage in householdrecycling is an important part of who I am ’ ","1999-11872-00119990901","Terry, Deborah J. and Hogg, Michael A. and White, Katherine M.","The theory of planned behaviour: Self-identity, social identity and group norms.","1999","importantPart"
"173","importantPart","“Drinking alcohol is an important part of who I am” ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999","importantPart"
"188","importantPart"," `Using cannabis/marijuana is an important part of who I am.’","1999-05902-00519990601","Conner, Mark and McMillan, Brian","Interaction effects in the theory of planned behavior: Studying cannabis use.","1999","importantPart"
"213","importantPart","To volunteer is an important part of my identity","2014-13411-00320140501","Marta, Elena and Manzi, Claudia and Pozzi, Maura and Vignoles, Vivian Laurance","Identity and the theory of planned behavior: Predicting maintenance of volunteering after three years.","2014","importantPart"
"232","importantPart"," ""Participation in physical activities for at least 3 times a week in the next 3 mo. is an important part of my life,"" ","2006-03688-01020051201","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: An application of the theory of planned behavior.","2005","importantPart"
"235","importantPart"," 'Healthy eating for the next three months is an important part of my life' ","2006-00523-03620051001","Tsorbatzoudis, Haralambos","Evaluation of a planned behavior theory-based intervention programme to promote healthy eating.","2005","importantPart"
"242","importantPart"," ""To participate in the program of this gym during the next two months, is an important part of myself"" ","1995-03809-00119940601","Theodorakis, Yannis","Planned behavior, attitude strength, role identity, and the prediction of exercise behavior.","1994","importantPart"
"259","importantPart"," To engage in dietary supplement use is an important part of who I am ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","importantPart"
"267","importantPart","“The oral cavity and dental health are an important part of who I am” ","dumitrescu2013predicting","Dumitrescu, Alexandrina L and Du{\c{t}}{\u{a}}, Carmen and Dogaru, Carmen Beatrice and Manolescu, Bogdan","Predicting Undergraduates' Intentions to Improve Oral Health Behaviors: The Importance of Self--Identity--A Pilot Study","2013","importantPart"
"289","importantPart","‘Being an organ donor is an important part of who I am’","hyde2010organ","Hyde, Melissa K and White, Katherine M","Are organ donation communication decisions reasoned or reactive? A test of the utility of an augmented theory of planned behaviour with the prototype/willingness model","2010","importantPart"
"290","importantPart","“To engage in household recycling is an important part of who I am,” 1 = no, definitely not to 7 = yes, definitely ","white2012role","White, Katherine M and Hyde, Melissa K","The role of self-perceptions in the prediction of household recycling behavior in Australia","2012","importantPart"
"298","importantPart"," Engaging in water conservation activities is an important part of who I am ","yazdanpanah2016investigating","Yazdanpanah, Masoud and Forouzani, Masoumeh and Abdeshahi, Abbas and Jafari, Ahmad","Investigating the effect of moral norm and self-identity on the intention toward water conservation among Iranian young adults","2016","importantPart"
"302","importantPart","“Volunteering my time for a charity/non-profit organization (being a blood donor/donating money) is an important part of who I am” ","white2017identity","White, Katherine M and Poulsen, Brooke E and Hyde, Melissa K","Identity and personality influences on donating money, time, and blood","2017","importantPart"
"305","importantPart"," “Being helpful to others is an important part of who I am” ","white2017identity","White, Katherine M and Poulsen, Brooke E and Hyde, Melissa K","Identity and personality influences on donating money, time, and blood","2017","importantPart"
"315","importantPart"," ""Engaging in water conservation activities is an important part of who I am""","yazdanpanah2011investigating","Yazdanpanah, Masoud and Hayati, Dariush and Zamani, Gholam Hossein","Investigating agricultural professionals’ intentions and behaviours towards water conservation: using a modified theory of planned behaviour","2011","importantPart"
"319","importantPart","Purchasing green products makes an important part of my personality. ","hampredicting","Ham, Marija and {\v{S}}timac, Helena and Pap, Ana and Oec, Mag","PREDICTING THE INTENTION TO PURCHASE GREEN FOOD IN CROATIA--THE INFLUENCE OF PERCIEVED SELF-IDENTITY",NA,"importantPart"
"334","importantPart"," “Blood donation is an important part of who I am,” ","wevers2014return","Wevers, Anne and Wigboldus, Dani{\""e}l HJ and Baaren, Rick and Veldhuizen, Ingrid JT","Return behavior of occasional and multigallon blood donors: the role of theory of planned behavior, self-identity, and organizational variables","2014","importantPart"
"348","importantPart"," Using of RE at homes is an important part of who I am ","yazdanpanah2015governance","Yazdanpanah, Masoud and Komendantova, Nadejda and Ardestani, Roshanak Shafiei","Governance of energy transition in Iran: Investigating public acceptance and willingness to use renewable energy sources through socio-psychological model","2015","importantPart"
"356","importantPart"," “Blood donation is an important part of who I am”","masser2012predicting","Masser, Barbara M and Bednall, Timothy C and White, Katherine M and Terry, Deborah","Predicting the retention of first-time donors using an extended Theory of Planned Behavior","2012","importantPart"
"359","importantPart"," Philanthropy is an important part of who I am.","dennis2009nature","Dennis, Bryan S and Buchholtz, Ann K and Butts, Marcus M","The nature of giving: A theory of planned behavior examination of corporate philanthropy","2009","importantPart"
"365","importantPart"," ""Participation in physical activities for at least 3 times a week in the next 3 mo. is an important part of my life,"" ","tsorbatzoudis2005evaluation","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: an application of the theory of planned behavior","2005","importantPart"
"367","importantPart","“Drinking alcohol is an important part of who I am” ","conner1999alcohol","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behaviorid","1999","importantPart"
"376","importantPart","""To teach individuals with disabilities during the next years is an important part of myself,"" ","theodorakis1995attitudes","Theodorakis, Yannis and Bagiatis, Konstantinos and Goudas, Marios","Attitudes toward teaching individuals with disabilities: Application of planned behavior theory","1995","importantPart"
"381","importantPart","""Donating blood is an important part of who I am.""","manning2006joint","Manning, Mark","The joint effects of persuasion and implementation intentions: an investigation using the theory of planned behavior.","2006","importantPart"
"13","kindOfPerson","‘Considering who you are and the kind of person that you are, how appropriate would it be for you to drink double the recommended limit or more than this on any one occasion in the next two weeks?’ (completely inappropriate [1] to completely appropriate [7]). ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","kindOfPerson"
"15","kindOfPerson"," ‘Considering who you are and the kind of person that you are, to what extent do you agree that drinking double the recommended limit or more than this on any one occasion in the next two weeks is the right thing to do?’ (very strongly disagree [1] to very strongly agree [7]). ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","kindOfPerson"
"18","kindOfPerson"," ‘Considering who you are and the kind of person that you are, please answerthefollowingquestions’:‘Howappropriatewoulditbeforyoutodrinkdoublethe recommended limit or more than this on any one occasion in the next two weeks?’ (completely inappropriate [1] to completely appropriate [7]) ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","kindOfPerson"
"29","kindOfPerson"," ‘‘I am not the type of person oriented to support fair trade’’. (‘‘strongly disagree/strongly agree’’).","2014-38020-00120160101","Chatzidakis, Andreas and Kastanakis, Minas and Stathopoulou, Anastasia","Socio-cognitive determinants of consumers’ support for the fair trade movement.","2016","kindOfPerson"
"31","kindOfPerson"," The idea of participating in the [target behavior] to commercialize my research is completely alien to me’’ ","2014-50754-00120151201","Obschonka, Martin and Silbereisen, Rainer K. and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: Predictors and effects within the theory of planned behavior framework.","2015","kindOfPerson"
"37","kindOfPerson","‘I am the type of person to get tested for chlamydia regularly’","2014-30143-01320140901","Booth, Amy R. and Norman, Paul and Goyder, Elizabeth and Harris, Peter R. and Campbell, Michael J.","Pilot study of a brief intervention based on the theory of planned behaviour and self-identity to increase chlamydia testing among young people living in deprived areas.","2014","kindOfPerson"
"43","kindOfPerson","‘I am the kind of person who gets tested for chlamydia [regularly]’","2014-00741-00720140201","Booth, Amy R. and Norman, Paul and Harris, Peter R. and Goyder, Elizabeth","Using the theory of planned behaviour and self-identity to explain chlamydia testing intentions in young people living in deprived areas.","2014","kindOfPerson"
"44","kindOfPerson","“I am the type of person who would …” ","2014-07012-00420140101","Leyland, Sandra D. and van Wersch, Anna and Woodhouse, David","Testing an extended theory of planned behaviour to predict intention to participate in health-related exercise during long-distance flight travel.","2014","kindOfPerson"
"47","kindOfPerson","“I am the type of person whowould register as a bone marrow donor,”","2013-44268-01020131201","Hyde, Melissa K. and White, Katherine M.","Testing an extended theory of planned behavior to predict young people's intentions to join a bone marrow donor registry.","2013","kindOfPerson"
"61","kindOfPerson"," (2) fits who they are, ","2012-23507-00920121101","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012","kindOfPerson"
"63","kindOfPerson"," (4) if they were a typical person who engages in sufficient exercise","2012-23507-00920121101","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012","kindOfPerson"
"65","kindOfPerson"," “I am not the type of person oriented to engage in household recycling,”","2012-29392-00320121101","White, Katherine M. and Hyde, Melissa K.","The role of self-perceptions in the prediction of household recycling behavior in Australia.","2012","kindOfPerson"
"69","kindOfPerson"," It would be out of character for me not to . . . ","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012","kindOfPerson"
"75","kindOfPerson"," ‘‘I am a typical person who engages in sufficient exercise’’","2012-11628-00820120701","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012","kindOfPerson"
"79","kindOfPerson"," I am not the type of person who donates blood. ","2012-99050-32020120101","Lu, Jia","Predicting blood donations among college students as a strategy to design voluntary blood donation campaigns in China.","2012","kindOfPerson"
"83","kindOfPerson"," ‘It’s in my character to be a smoker’ ","2011-21791-00920110901","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011","kindOfPerson"
"87","kindOfPerson"," “Subsidised / non-subsidised nature conservation practices are somethingthat is typical for me”","2011-10645-00120110701","Lokhorst, Anne Marike and Staats, Henk and van Dijk, Jerry and van Dijk, Eric and de Snoo, Geert","What's in it for me? Motivational differences between farmers' subsidised and non-subsidised conservation practices.","2011","kindOfPerson"
"96","kindOfPerson"," I am a good example of a person who smokes","2010-18094-00720101001","Høie, Magnhild and Moan, Inger Synnøve and Rise, Jostein","An extended version of the theory of planned behavour: Prediction of intentions to quit smoking using past behaviour as moderator.","2010","kindOfPerson"
"107","kindOfPerson","‘‘I am the type of person who uses social networking Web sites (e.g. Facebook, MySpace, Bebo)’","2009-24091-01420091201","Pelling, Emma L. and White, Katherine M.","The theory of planned behavior applied to young people's use of social networking Web sites.","2009","kindOfPerson"
"108","kindOfPerson","“Quitting smoking within the next 3 months fits with the kind of person I want to be” ","2009-14439-00420090901","van den Putte, Bas and Yzer, Marco and Willemsen, Marc C. and de Bruijn, Gert-Jan","The effects of smoking self-identity and quitting self-identity on attempts to quit smoking.","2009","kindOfPerson"
"110","kindOfPerson"," “Smoking fits with the kind of person I want to be” ","2009-14439-00420090901","van den Putte, Bas and Yzer, Marco and Willemsen, Marc C. and de Bruijn, Gert-Jan","The effects of smoking self-identity and quitting self-identity on attempts to quit smoking.","2009","kindOfPerson"
"116","kindOfPerson"," ‘‘I am not the type of person who would be involved in environmental activism’’","2008-16689-00320081201","Fielding, Kelly S. and McDonald, Rachel and Louis, Winnifred R.","Theory of planned behaviour, identity and intentions to engage in environmental activism.","2008","kindOfPerson"
"129","kindOfPerson"," “I am not the type of person oriented to use a mobile phone.”","2007-15018-01020071001","Walsh, Shari P. and White, Katherine M.","Me, my mobile, and I: The role of self- and prototypical identity influences in the prediction of mobile phone behavior.","2007","kindOfPerson"
"136","kindOfPerson"," ‘‘I’m a good example of a person who smokes’’ ","2006-21750-00220061201","Moan, Inger Synnøve and Rise, Jostein","Predicting smoking reduction among adolescents using an extended version of the theory of planned behaviour.","2006","kindOfPerson"
"139","kindOfPerson"," ‘I think of myself as the type of person who would buy a magazine in thenext 2 weeks.’","2006-22520-00520061201","Hagger, Martin S. and Chatzisarantis, Nikos L. D.","Self-identity and the theory of planned behaviour: Between- and within-participants analyses.","2006","kindOfPerson"
"144","kindOfPerson"," “I’m a good example of a person who smokes,” ","2005-09488-00320050101","Moan, Inger Synnøve and Rise, Jostein","Quitting Smoking: Applying an Extended Version of the Theory of Planned Behavior to Predict Intention and Behavior.","2005","kindOfPerson"
"151","kindOfPerson","I am the type of person who will purchase food produced using genetic engineering ","2002-18824-00220021001","Cook, A. J. and Kerr, G. N. and Moore, K.","Attitudes and intentions towards purchasing GM food.","2002","kindOfPerson"
"152","kindOfPerson"," I am the type of person who will not purchase food produced using genetic engineering","2002-18824-00220021001","Cook, A. J. and Kerr, G. N. and Moore, K.","Attitudes and intentions towards purchasing GM food.","2002","kindOfPerson"
"168","kindOfPerson"," “I am not a type of person oriented to engaging in contraception”.","2001-05241-00520010101","Fekadu, Zelalem and Kraft, Pål","Self-identity in planned behavior perspective: Past behavior and its moderating effects on self-identity–intention relations.","2001","kindOfPerson"
"171","kindOfPerson"," `I am not thetype of person oriented to engage in household recycling ’ ","1999-11872-00119990901","Terry, Deborah J. and Hogg, Michael A. and White, Katherine M.","The theory of planned behaviour: Self-identity, social identity and group norms.","1999","kindOfPerson"
"212","kindOfPerson"," I am the kind of person who is a donor","2015-03853-00120150801","Bagot, Kathleen L. and Masser, Barbara M. and White, Katherine M.","Using an extended theory of planned behavior to predict a change in the type of blood product donated.","2015","kindOfPerson"
"229","kindOfPerson"," a person who generally recognises the educational benefits of dance’.","2007-07467-00320070401","Chedzoy, S. M. and Burden, R. L.","What can psychology tell us about teaching dance? The potential contribution of Ajzen's Theory of Planned Behavior.","2007","kindOfPerson"
"230","kindOfPerson","""Generally I'm the type of a person who behaves unsportsmanlike, to lie to an official, to violate a rule, to risk an opponent's injury, and to deliberately hurt an opponent""","2006-23106-01820060801","Bebetsos, Evangelos and Konstantoulas, Doukas","Contact Sports, Moral Functioning and Planned Behaviour Theory.","2006","kindOfPerson"
"243","kindOfPerson"," ""I am the type of person oriented to participate in the program of this gym during the next two months.""","1995-03809-00119940601","Theodorakis, Yannis","Planned behavior, attitude strength, role identity, and the prediction of exercise behavior.","1994","kindOfPerson"
"250","kindOfPerson"," “I am the type of person who enjoys a drink.” ","haydon2017examining","Haydon, Helen M and Obst, Patricia L and Lewis, Ioni","Examining Women's Alcohol Consumption: The Theory of Planned Behavior and Self-Identity","2017","kindOfPerson"
"251","kindOfPerson"," “I am the type of person who doesn’t mind getting a bit drunk.” ","haydon2017examining","Haydon, Helen M and Obst, Patricia L and Lewis, Ioni","Examining Women's Alcohol Consumption: The Theory of Planned Behavior and Self-Identity","2017","kindOfPerson"
"260","kindOfPerson"," I am not the type of person to engage in dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","kindOfPerson"
"261","kindOfPerson"," I am not the type of person oriented to use dietary supplements ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","kindOfPerson"
"265","kindOfPerson"," Item 2: ‘‘…is completely alien to me’’ ","obschonka2015entrepreneurial","Obschonka, Martin and Silbereisen, Rainer K and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: predictors and effects within the theory of planned behavior framework","2015","kindOfPerson"
"275","kindOfPerson","“I am the type of person who would reduce the amount of fruit and vegetables that gets thrown away from my household over the next seven days”","graham2015predicting","Graham-Rowe, Ella and Jessop, Donna C and Sparks, Paul","Predicting household food waste reduction using an extended theory of planned behaviour","2015","kindOfPerson"
"291","kindOfPerson"," “I am not the type of person oriented to engage in household recycling,” 1 = completely false to 7 = completely true.","white2012role","White, Katherine M and Hyde, Melissa K","The role of self-perceptions in the prediction of household recycling behavior in Australia","2012","kindOfPerson"
"294","kindOfPerson"," “I am the type of person who enjoys exercising vigorously for at least 30 minutes three times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to Investigate the Antecedents of Physical Activity Participation among Saudi Adolescents","2010","kindOfPerson"
"299","kindOfPerson"," I am the type of person who would conserve water","yazdanpanah2016investigating","Yazdanpanah, Masoud and Forouzani, Masoumeh and Abdeshahi, Abbas and Jafari, Ahmad","Investigating the effect of moral norm and self-identity on the intention toward water conservation among Iranian young adults","2016","kindOfPerson"
"303","kindOfPerson"," “I am the type of person who would volunteer my time for a charity/non-profit organization ","white2017identity","White, Katherine M and Poulsen, Brooke E and Hyde, Melissa K","Identity and personality influences on donating money, time, and blood","2017","kindOfPerson"
"306","kindOfPerson"," “I am the type of person who helps others,”","white2017identity","White, Katherine M and Poulsen, Brooke E and Hyde, Melissa K","Identity and personality influences on donating money, time, and blood","2017","kindOfPerson"
"327","kindOfPerson","“I am the kind of person whodonates blood,” ","masser2009predicting","Masser, Barbara M and White, Katherine M and Hyde, Melissa K and Terry, Deborah J and Robinson, Natalie G","Predicting blood donation intentions and behavior among Australian blood donors: testing an extended theory of planned behavior model","2009","kindOfPerson"
"347","kindOfPerson","I am the type of person who would use RE at homes ","yazdanpanah2015governance","Yazdanpanah, Masoud and Komendantova, Nadejda and Ardestani, Roshanak Shafiei","Governance of energy transition in Iran: Investigating public acceptance and willingness to use renewable energy sources through socio-psychological model","2015","kindOfPerson"
"349","kindOfPerson"," I am not the type of person who would be involved in using RE at homes","yazdanpanah2015governance","Yazdanpanah, Masoud and Komendantova, Nadejda and Ardestani, Roshanak Shafiei","Governance of energy transition in Iran: Investigating public acceptance and willingness to use renewable energy sources through socio-psychological model","2015","kindOfPerson"
"355","kindOfPerson"," “I am like the kind of person who donates blood,” ","masser2012predicting","Masser, Barbara M and Bednall, Timothy C and White, Katherine M and Terry, Deborah","Predicting the retention of first-time donors using an extended Theory of Planned Behavior","2012","kindOfPerson"
"375","kindOfPerson"," (4) is typical for me","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","kindOfPerson"
"377","kindOfPerson"," ""I am the type of person oriented to teach individuals with disabilities during the next years,"" ","theodorakis1995attitudes","Theodorakis, Yannis and Bagiatis, Konstantinos and Goudas, Marios","Attitudes toward teaching individuals with disabilities: Application of planned behavior theory","1995","kindOfPerson"
"378","kindOfPerson"," ""It is in my character to teach individuals with disabilities during the next years,"" ","theodorakis1995attitudes","Theodorakis, Yannis and Bagiatis, Konstantinos and Goudas, Marios","Attitudes toward teaching individuals with disabilities: Application of planned behavior theory","1995","kindOfPerson"
